abonent	Абонент
accept-reject	Принять, отменить.
added	Добавлен.
agent-alreadyon	Данный оператор уже зарегистрирован. Введите номер оператора и нажмите решетку
agent-incorrect	Ошибка регистрации. Введите номер оператора и нажмите решетку.
agent-loggedoff	Регистрация оператора удалена.
agent-loginok	Оператор зарегистрирован.
agent-newlocation	Ведите новый номер, и нажмите решетку.
agent-newlocation	Наберите новый номер, завершив ввод клавишей решётка. Или просто нажмите решётку для немедленного соединения.
agent-pass	Введите  пароль  и нажмите решетку.
agent-user	Регистрация оператора. Введите номер и нажмите решетку.
aktivated	активирована
aktivirovana	активирована
aktivirovano	активировано
aktivirovan	активирован
all-circuits-busy-now	На данный момент все линии заняты.
all-circuits-busy	Все линии заняты.
AM	До полудня.
and	И.
an-error-has-occured	Произошла ошибка.
at-tone-time-exactly	Текущее время.
at	в
auth-incorrect	Пароль неверен. Введите пароль и нажмите решетку.
auth-thankyou	Спасибо.
autoattendant	Автосекретарь.
call-forwarding-parallel	Переадресация вызова «параллельная линия».
call-forwarding	Переадресация вызова.
call-forward	Переадресация вызова.
call-fwd-cancelled	Отмена переадресации вызова.
call-fwd-no-ans	Переадресация по «Не ответу».
call-fwd-on-busy	переадресация звонка по занято
call-fwd-parallel	Переадресация вызова «Параллельная линия».
call-fwd-unconditional	безусловная переадресация звонка
calls-are-recorded	Внимание! В целях улучшения качества обслуживания разговоры записываются! 
call-waiting	Функция «Ожидание вызова».
cancelled	Отменена.
cannot-complete-as-dialed	Соединение не возможно.
check-number-dial-again	Пожалуйста, проверьте номер и перезвоните.
company-welcome	Здравствуйте! Вас приветствует компания
conf-adminmenu	Нажмите 1 - для включения или отключения вашего микрофона. 2 - для блокирования или разблокирования конференции. 3 - для отключения последнего абонента. 4 или 6 - для уменьшения или увеличения громкости звука. 7 или 9 - для уменьшения или увеличения чувствительности микрофона. Или 8 - для выхода.
conf-enteringno	Вы заходите в конференцию
conf-errormenu	Неверный выбор
conf-getchannel	Введите номер канала и затем решетку.
conf-getconfno	Введите номер конференции и затем решетку
conf-getpin	Введите пароль конференции
conf-hasjoined	Присоединился к конференции.
conf-hasjoin	зашел в конференцию
conf-hasleft	вышел из конференции
conf-invalidpin	Пароль неверен.
conf-invalid	Недействительный номер конференции, попробуйте еще раз.
conf-kicked	Вас только что удалили из конференции. 
conf-leaderhasleft	Руководитель покинул конференцию. 
conf-lockednow	Эта конференция теперь закрыта. 
conf-locked	Эта конференция закрыта. 
conf-muted	Ваш микрофон выключен. 
conf-noempty	Пустых конференций не существует.
conf-onlyone	В конференции находится один участник.
conf-onlyperson	Вы являетесь первым участником конференции
conf-otherinparty	других участников.
conf-placeintoconf	Сейчас Вы зайдете в конференцию. 
conf-thereare	Сейчас в конференции находится
conf-unlockednow	Эта конференция теперь открыта.
conf-unmuted	Ваш микрофон включен. 
conf-usermenu	Нажмите 1 для включения или выключения микрофона, 4 или 6 для уменьшения или увеличения уровня громкости конференции, 7 или 9 для уменьшения или увеличения уровня Вашей громкости, или 8 для выхода из конференции 
conf-userswilljoin	пользователей присоединится к конференции.
conf-userwilljoin	пользователь присоединится к конференции
conf-waitforleader	Конференция начнётся после прихода её инициатора.
dash	Тире.
de-activated	Отключена.
de-aktivated	деактивирована
deaktivirovana	деактивирована
deaktivirovano	деактивировано
deaktivirovan	деактивирован
demo-abouttotry	Сейчас будет предпринята попытка подключения телефонного узла интер-астериск к демонстрационному серверу, расположенному в Дигиум. Для начала работы, вам необходимо подключиться к интернет. Пожалуйста, подождите, осуществляется соединение.
demo-congrats	Поздравляем! Вы закончили установку и выполнение программы ай-пи телефонной станции «Астериск». Вы также установили набор типовых звуков, и конфигурационных файлов, которые помогут вам начать работу. Вы сможете перемещаться по данной демонстрации при помощи пронумерованных кнопок - как и в любой обычной телефонной станции. Если вместо обычного телефонного аппарата вы используете программу - вы можете пользоваться теми же командами набора номера, ответа на вызов, окончания вызова, как и на обычном телефоне.
demo-echodone	«Эхо-тест» завершён.
demo-echotest	Вы переключаетесь в режим «эхо-теста».Чтобы завршить «эхо-тест» - повесьте трубку или нажмите клавишу «решётка». 
demo-enterkeywords	Введите одно или несколько ключевых слов, разделив их между собой звёздочкой. И затем нажмите клавишу «решётка».
demo-moreinfo	Данное сообщение пока не записано.
demo-nogo	Подключение к демонстрационному серверу «Астериск», расположенному в Дигиум, не осуществилось. Вы можете найти полезную информацию об устранении ошибок на панели управления вашего сервера «Астериск». 
demo-nomatch	К сожалению, не найдено соответствие для этих ключевых слов.
demo-thanks	До свидания! Благодарим за пробную эксплуатацию программы ай-пи телефонной станции «Астериск».
dial-exten	наберите его добавочный номер
dial-exten-tone	Если вы знаете внутренний номер абонента, наберите его в тоновом режиме, или дождитесь ответа оператора.
dir-instr	Если вы нашли необходимого человека - нажмите 1. Если нет - нажмите «звёздочку».
dir-intro-fnln-oper	Добро пожаловать в директорию! При помощи клавиатуры введите первые три буквы имени или фамилии вашего абонента. Используйте клавишу 7 для буквы «Q» и 9 для буквы «Z». Или 0 для вызова оператора.
dir-intro-fnln	Добро пожаловать в директорию! При помощи клавиатуры введите первые три буквы имени или фамилии вашего абонента. Используйте клавишу 7 для буквы «Q» и 9 для буквы «Z».
dir-intro-fn-oper	Добро пожаловать в директорию! При помощи клавиатуры введите первые три буквы имени вашего абонента. Используйте клавишу 7 для буквы «Q» и 9 для буквы «Z». Или 0 для вызова оператора.
dir-intro-fn	Добро пожаловать в директорию! При помощи клавиатуры введите первые три буквы имени вашего абонента. Используйте клавишу 7 для буквы «Q» и 9 для буквы «Z».
dir-intro-oper	Добро пожаловать в директорию! При помощи клавиатуры введите первые три буквы фамилии вашего абонента. Используйте клавишу 7 для буквы «Q» и 9 для буквы «Z». Или 0 для вызова оператора.
dir-intro	Добро пожаловать в директорию! При помощи клавиатуры введите первые три буквы фамилии вашего абонента. Используйте клавишу 7 для буквы «Q» и 9 для буквы «Z».
dir-nomatch	По вашему запросу не найдено ни одной записи в директории.
dir-nomore	Других аналогичных записей не существует.
dlja-otpravki-faksa	для отправки факса
dollars2	Долларов.
dollars	Доллары.
dollar	Доллар.
done-recording	Речевое приглашение записано.
do-not-disturb	Просьба не беспокоить.
do-svidanija	до свидания.
dot	Точка.
do	до
enter-conf-pin-number	Пожалуйста, введите ПИН-код. Затем нажмите клавишу «решётка».
enter-num-blacklist	Пожалуйста, введите номер, который необходимо заблокировать.
enter-recording-num	Введите номер записи.
entr-num-rmv-blklist	Пожалуйста, введите номер, который необходимо разблокировать.
ent-target-attendant	Введите внутренний или внешний номер для переадресации вызова.
equals	Равно.
euros	Евро.
exclamation-point	Восклицательный знак.
extension	номер
feature-not-avail-line	На этой линии данной услугой воспользоваться невозможно.
finances-dep	финансовый отдел
